Time,s,t,t_ref,e_t,devang,psi_ref,e_psi,yawrate,v,delta_cmd_logged,applied_delta_cmd,applied_delta_rate,steer_manual
0.045,8.39999698399995,-5.07702330874672e-08,4.72016185363139e-06,-4.77093208671885e-06,-7.71093440811398e-09,2.23416278708452e-05,-2.23493388052533e-05,-7.4500010079056e-07,3.05405403595441e-06,1.09703465887193e-05,1.09703465887193e-05,-2.55614851949092e-05,3.22117174541639e-15
0.046,8.39999698399995,-5.22086796575882e-08,4.72016185363139e-06,-4.77237053328898e-06,-8.45593450890454e-09,2.23416278708452e-05,-2.23500838053541e-05,-7.80842723095614e-07,3.17892084380199e-06,1.09447851035244e-05,1.09447851035244e-05,-2.55614851949092e-05,3.45419694064085e-15
0.047,8.39999698399995,-5.36172232948034e-08,4.72016185363139e-06,-4.77377907692619e-06,-9.23677723200016e-09,2.23416278708452e-05,-2.23508646480772e-05,-8.15384856411759e-07,3.30513998574421e-06,1.09192236183295e-05,1.09192236183295e-05,-2.55614851949092e-05,3.69617405499772e-15
0.048,8.39999698399995,-5.49877956536441e-08,4.72016185363139e-06,-4.77514964928503e-06,-1.00521620884119e-08,2.23416278708452e-05,-2.23516800329336e-05,-8.4981248145326e-07,3.43349135351711e-06,1.08936621331346e-05,1.08936621331346e-05,-2.55614851949092e-05,3.94779318804339e-15
0.049,8.39999698399995,-5.63160979550378e-08,4.72016185363139e-06,-4.77647795158643e-06,-1.09019745698652e-08,2.23416278708452e-05,-2.23525298454151e-05,-8.84089432551546e-07,3.56406028794998e-06,1.08681006479397e-05,1.08681006479397e-05,-2.55614851949092e-05,4.20946372864781e-15
0.05,8.39999698399995,-5.75991291258127e-08,4.72016185363139e-06,-4.7777609827572e-06,-1.17860640024167e-08,2.23416278708452e-05,-2.23534139348476e-05,-9.17893773687815e-07,3.69665127908223e-06,1.08425391627448e-05,1.08425391627448e-05,-2.55614851949075e-05,4.48122572026518e-15
0.051,8.39999698399995,-5.88341404342447e-08,4.72016185363139e-06,-4.77899599406563e-06,-1.27039577761045e-08,2.23416278708452e-05,-2.23543318286213e-05,-9.51038566101563e-07,3.8309732276114e-06,1.08169776775499e-05,1.08169776775499e-05,-2.55614851949075e-05,4.76253458385451e-15
0.052,8.39999698399995,-6.0018568762615e-08,4.72016185363139e-06,-4.780180422394e-06,-1.36549963422061e-08,2.23416278708452e-05,-2.23552828671874e-05,-9.83605107749591e-07,3.96666917392477e-06,1.0791416192355e-05,1.0791416192355e-05,-2.55614851949109e-05,5.05200215080448e-15
0.053,8.39999698399995,-6.11505528023768e-08,4.72016185363139e-06,-4.78131240643376e-06,-1.46386014499557e-08,2.23416278708452e-05,-2.23562664722952e-05,-1.01598537138767e-06,4.10324487669551e-06,1.07658547071601e-05,1.07658547071601e-05,-2.55614851949077e-05,5.34699118628495e-15
0.054,8.39999698399995,-6.22298591445331e-08,4.72016185363139e-06,-4.78239171277592e-06,-1.56545868213434e-08,2.23416278708452e-05,-2.23572824576666e-05,-1.04896570853066e-06,4.23992271011672e-06,1.07402932219651e-05,1.07402932219651e-05,-2.55614851949109e-05,5.64608705729222e-15
0.055,8.39999698399995,-6.32592864212647e-08,4.72016185363139e-06,-4.78342114005265e-06,-1.6703552529874e-08,2.23416278708452e-05,-2.23583314233751e-05,-1.08387572073026e-06,4.37546574630059e-06,1.07147317367702e-05,1.07147317367702e-05,-2.55614851949075e-05,5.94767538445597e-15
0.056,8.39999698399995,-6.4246618211338e-08,4.72016185363139e-06,-4.78440847184273e-06,-1.77874282506043e-08,2.23416278708452e-05,-2.23594152990958e-05,-1.12249162273451e-06,4.50825133747933e-06,1.06891702515753e-05,1.06891702515753e-05,-2.55614851949092e-05,6.25207239397112e-15
0.057,8.39999698399995,-6.52060815711871e-08,4.72016185363139e-06,-4.78536793520257e-06,-1.89099198733388e-08,2.23416278708452e-05,-2.23605377907186e-05,-1.16591241449753e-06,4.6372447394422e-06,1.06636087663804e-05,1.06636087663804e-05,-2.55614851949075e-05,6.56122759225788e-15
0.058,8.39999698399995,-6.61557633482219e-08,4.72016185363139e-06,-4.78631761697961e-06,-2.00758322878363e-08,2.23416278708452e-05,-2.23617037031331e-05,-1.21311403520304e-06,4.76323125595421e-06,1.06380472811855e-05,1.06380472811855e-05,-2.55614851949109e-05,6.87796476197382e-15
0.059,8.39999698399995,-6.71102105301685e-08,4.72016185363139e-06,-4.78727206416156e-06,-2.12889463230394e-08,2.23416278708452e-05,-2.23629168171683e-05,-1.26182461270279e-06,4.88803896448182e-06,1.06124857959906e-05,1.06124857959906e-05,-2.55614851949075e-05,7.20519461965732e-15
0.06,8.39999698399995,-6.80762023404277e-08,4.72016185363139e-06,-4.78823805597182e-06,-2.25507709357422e-08,2.23416278708452e-05,-2.2364178641781e-05,-1.31022839777997e-06,5.01308072671348e-06,1.05869243107957e-05,1.05869243107957e-05,-2.55614851949094e-05,7.54536303659054e-15
0.061,8.39999698399995,-6.90543474151442e-08,4.72016185363139e-06,-4.78921620104653e-06,-2.38609993335221e-08,2.23416278708452e-05,-2.23654888701788e-05,-1.35736545286412e-06,5.13903922073434e-06,1.05472762922345e-05,1.05472762922345e-05,-3.96480185612346e-05,7.90016011864442e-15
0.062,8.39999698399995,-7.00419831379298e-08,4.72016185363139e-06,-4.79020383676932e-06,-2.52183647863862e-08,2.23416278708452e-05,-2.23668462356316e-05,-1.40289073758272e-06,5.26608906610898e-06,1.05076282736732e-05,1.05076282736732e-05,-3.96480185612363e-05,8.27038072162506e-15
0.063,8.39999698399995,-7.1035282317256e-08,4.72016185363139e-06,-4.79119713594864e-06,-2.6621255523969e-08,2.23416278708452e-05,-2.23682491263692e-05,-1.44682525979943e-06,5.39411096904916e-06,1.0467980255112e-05,1.0467980255112e-05,-3.96480185612363e-05,8.65580520219944e-15
0.064,8.39999698399995,-7.20305162555727e-08,4.72016185363139e-06,-4.79219236988696e-06,-2.80680807837684e-08,2.23416278708452e-05,-2.2369695951629e-05,-1.48939254820547e-06,5.52282427704528e-06,1.04283322365507e-05,1.04283322365507e-05,-3.96480185612363e-05,9.05544344004309e-15
0.065,8.39999698399995,-7.30247677380271e-08,4.72016185363139e-06,-4.79318662136941e-06,-2.95574733319739e-08,2.23416278708452e-05,-2.23711853441772e-05,-1.53090584686848e-06,5.65187686405517e-06,1.03886842179895e-05,1.03886842179895e-05,-3.96480185612346e-05,9.46745405081793e-15
0.066,8.39999698399995,-7.40162540995137e-08,4.72016185363139e-06,-4.7941781077309e-06,-3.10883791788424e-08,2.23416278708452e-05,-2.23727162500241e-05,-1.57167405592779e-06,5.78092132457492e-06,1.03490361994283e-05,1.03490361994283e-05,-3.96480185612363e-05,9.88928728176637e-15
0.067,8.39999698399995,-7.50043165486823e-08,4.72016185363139e-06,-4.79516617018007e-06,-3.26600532347702e-08,2.23416278708452e-05,-2.237428792408e-05,-1.6119181273997e-06,5.90968362249386e-06,1.0309388180867e-05,1.0309388180867e-05,-3.96480185612363e-05,1.03178670234028e-14
0.068,8.39999698399995,-7.5989111867774e-08,4.72016185363139e-06,-4.79615096549916e-06,-3.42719713621699e-08,2.23416278708452e-05,-2.23758998422074e-05,-1.65171074391001e-06,6.03801220064787e-06,1.02697401623058e-05,1.02697401623058e-05,-3.96480185612363e-05,1.07500501234375e-14
0.069,8.39999698399995,-7.69710927608015e-08,4.72016185363139e-06,-4.79713294639219e-06,-3.59236821060799e-08,2.23416278708452e-05,-2.23775515529513e-05,-1.69096071724927e-06,6.16588932578824e-06,1.02300921437446e-05,1.02300921437446e-05,-3.96480185612329e-05,1.1183212099194e-14
0.07,8.39999698399995,-7.79504380476381e-08,4.72016185363139e-06,-4.79811229167903e-06,-3.76146428233291e-08,2.23416278708452e-05,-2.23792425136686e-05,-1.72945277329583e-06,6.29339672508937e-06,1.01904441251833e-05,1.01904441251833e-05,-3.96480185612363e-05,1.16156028839986e-14
0.071,8.39999698399995,-7.89266246936313e-08,4.72016185363139e-06,-4.79908847832502e-06,-3.9344095596625e-08,2.23416278708452e-05,-2.23809719664419e-05,-1.76693174947039e-06,6.42064700486557e-06,1.01507961066221e-05,1.01507961066221e-05,-3.96480185612363e-05,1.20463772482043e-14
0.072,8.39999698399995,-7.98982937410657e-08,4.72016185363139e-06,-4.80006014737245e-06,-4.11110273460954e-08,2.23416278708452e-05,-2.23827388981913e-05,-1.80320570176163e-06,6.54770218510289e-06,1.01111480880609e-05,1.01111480880609e-05,-3.96480185612363e-05,1.2475403698043e-14
