s_ref,t_ref,psi_ref,delta_ff
231.000000,-0.030059342,-0.000783650,-0.002238564
231.500000,-0.030496648,-0.000796179,-0.002260254
232.000000,-0.030933954,-0.000808708,-0.002281944
232.500000,-0.031371260,-0.000821238,-0.002303633
233.000000,-0.031808567,-0.000833767,-0.002325323
233.500000,-0.032245873,-0.000846297,-0.002347013
234.000000,-0.032694934,-0.000859156,-0.002368323
234.500000,-0.033176111,-0.000872919,-0.002388597
235.000000,-0.033657288,-0.000886682,-0.002408872
235.500000,-0.034138465,-0.000900445,-0.002429146
236.000000,-0.034619642,-0.000914208,-0.002449420
236.500000,-0.035100819,-0.000927971,-0.002469694
237.000000,-0.035581996,-0.000941734,-0.002489968
237.500000,-0.036102366,-0.000956442,-0.002508691
238.000000,-0.036631136,-0.000971354,-0.002527083
238.500000,-0.037159906,-0.000986265,-0.002545474
239.000000,-0.037688676,-0.001001176,-0.002563865
239.500000,-0.038217446,-0.001016087,-0.002582256
240.000000,-0.038746216,-0.001030999,-0.002600647
240.500000,-0.039294307,-0.001046302,-0.002617937
241.000000,-0.039874047,-0.001062247,-0.002633424
241.500000,-0.040453786,-0.001078193,-0.002648910
242.000000,-0.041033526,-0.001094139,-0.002664397
242.500000,-0.041613266,-0.001110084,-0.002679883
243.000000,-0.042193006,-0.001126030,-0.002695370
243.500000,-0.042772745,-0.001141975,-0.002710856
244.000000,-0.043402708,-0.001158707,-0.002721640
244.500000,-0.044036184,-0.001175493,-0.002732095
245.000000,-0.044669660,-0.001192279,-0.002742550
245.500000,-0.045303136,-0.001209065,-0.002753004
246.000000,-0.045936612,-0.001225851,-0.002763459
246.500000,-0.046570088,-0.001242637,-0.002773914
247.000000,-0.047230816,-0.001259692,-0.002781722
247.500000,-0.047919889,-0.001277026,-0.002786778
248.000000,-0.048608962,-0.001294360,-0.002791834
248.500000,-0.049298035,-0.001311694,-0.002796890
249.000000,-0.049987108,-0.001329029,-0.002801945
249.500000,-0.050676181,-0.001346363,-0.002807001
250.000000,-0.051367837,-0.001363708,-0.002811751
250.500000,-0.052113381,-0.001381275,-0.002810125
251.000000,-0.052858925,-0.001398843,-0.002808499
251.500000,-0.053604469,-0.001416410,-0.002806873
252.000000,-0.054350013,-0.001433977,-0.002805247
252.500000,-0.055095557,-0.001451544,-0.002803621
253.000000,-0.055841101,-0.001469112,-0.002801995
253.500000,-0.056620285,-0.001486554,-0.002793691
254.000000,-0.057421774,-0.001503914,-0.002780960
254.500000,-0.058223263,-0.001521274,-0.002768229
255.000000,-0.059024752,-0.001538634,-0.002755498
255.500000,-0.059826241,-0.001555994,-0.002742767
256.000000,-0.060627730,-0.001573354,-0.002730035
256.500000,-0.061437595,-0.001590580,-0.002715419
257.000000,-0.062292480,-0.001607085,-0.002690672
257.500000,-0.063147365,-0.001623590,-0.002665925
258.000000,-0.064002249,-0.001640095,-0.002641178
258.500000,-0.064857134,-0.001656599,-0.002616431
259.000000,-0.065712019,-0.001673104,-0.002591684
259.500000,-0.066566904,-0.001689609,-0.002566936
260.000000,-0.067456480,-0.001705014,-0.002531708
260.500000,-0.068360059,-0.001719976,-0.002492248
261.000000,-0.069263637,-0.001734937,-0.002452788
261.500000,-0.070167216,-0.001749898,-0.002413329
262.000000,-0.071070795,-0.001764859,-0.002373869
262.500000,-0.071974373,-0.001779820,-0.002334410
263.000000,-0.072888677,-0.001794030,-0.002279165
263.500000,-0.073832275,-0.001806190,-0.002180807
264.000000,-0.074775873,-0.001818349,-0.002082449
264.500000,-0.075719471,-0.001830508,-0.001984090
265.000000,-0.076663069,-0.001842668,-0.001885732
265.500000,-0.077606667,-0.001854827,-0.001787374
266.000000,-0.078550265,-0.001866986,-0.001689016
266.500000,-0.079508981,-0.001873365,-0.001478126
267.000000,-0.080470936,-0.001878506,-0.001243128
267.500000,-0.081432891,-0.001883647,-0.001008131
268.000000,-0.082394846,-0.001888787,-0.000773134
268.500000,-0.083356801,-0.001893928,-0.000538136
269.000000,-0.084318756,-0.001899069,-0.000303139
269.500000,-0.085269145,-0.001898159,0.000024453
270.000000,-0.086200594,-0.001887340,0.000503679
270.500000,-0.087132042,-0.001876521,0.000982904
271.000000,-0.088063491,-0.001865703,0.001462129
271.500000,-0.088994940,-0.001854884,0.001941355
272.000000,-0.089926389,-0.001844065,0.002420580
272.500000,-0.090857837,-0.001833246,0.002899805
273.000000,-0.091671048,-0.001793173,0.003623258
273.500000,-0.092475997,-0.001751056,0.004363774
274.000000,-0.093280946,-0.001708939,0.005104291
274.500000,-0.094085895,-0.001666822,0.005844807
275.000000,-0.094890845,-0.001624705,0.006585324
